sample_id,source_zh,asr_raw,asr_normalized,translation_en,cer,meaning_similarity,meaning_loss,expected_code_words,detected_zh,detected_en,code_word_recall
1,指挥官：狐狸编队准备就绪，确认目标坐标三五点六北纬。专家：收到，狐狸一号至十号全员待命，夜莺卫星图像已传输。,指挥官狐狸编队准备绝续确认目标坐标三五点六卑微专家收到狐狸一号至十号全员待命夜鹰卫星图像已传输,指挥官狐狸编队准备绝续确认目标坐标三五点六卑微专家收到狐狸一号至十号全员待命夜鹰卫星图像已传输,指挥官狐狐编队准备绝续确认目标坐标三五点六卑微专家收到狐一号至十号全员待命夜卫星图片已传输,0.1923,0.7319,0.2681,"['狐狸', '夜莺']",['狐狸'],[],0.5
2,专家：鲨鱼信号确认，方位一二零度，距离四十五海里。指挥官：启动黑剑拦截程序，苍鹰中队立即升空。,专家闪语信号确认方位一二零度距离四十五海里指挥官席都推荐拦截程序苍蝇中队立即升空,专家闪语信号确认方位一二零度距离四十五海里指挥官席都推荐拦截程序苍蝇中队立即升空,专家闪语信号 确认 方位 一二零度 距离 四十五海里 指挥官席都 推拦截程序 中队立即升空 ,0.2667,0.6967,0.3033,"['鲨鱼', '苍鹰', '黑剑']",[],[],0.0
3,指挥官：幽灵小队已通过铁拳火力掩护，成功渗透敌后。专家：银狐线人确认敌指挥部位置，坐标已发送。,指挥官游林小队已通过提拳火力掩护成功渗透敌后专家银湖线人确认敌指挥部为止坐标已发送,指挥官游林小队已通过提拳火力掩护成功渗透敌后专家银湖线人确认敌指挥部为止坐标已发送,指挥官游林小队已经通过提拳火力掩护成功透敌后专家银湖线人确认敌指挥部止坐标已发送,0.2222,0.7507,0.2493,"['幽灵', '铁拳', '银狐']",[],[],0.0
4,专家：毒蛇已成功渗透目标网络，获取指挥系统权限。指挥官：启动暗流程序，瘫痪敌方系统。,专家博水以成功渗透目标网络获取指挥系统权限指挥官启动爱流程序瘫痪敌方系统,专家博水以成功渗透目标网络获取指挥系统权限指挥官启动爱流程序瘫痪敌方系统,专家博水以成功透目标网络获取指挥系统权限指挥官启动爱流程序敌方系统 专家博水以成功透目标网络获取指挥系统权限指挥官启动爱流程序 敌方系统,0.2,0.6601,0.3399,"['毒蛇', '暗流']",[],[],0.0
5,指挥官：红旗雷达侦测到黑剑来袭，铁网系统启动。专家：铁网拦截成功，黑剑残骸落入预定区域。,指挥官恐其雷达侦测到黑箭来袭天网系统启动专家天网拦截成功黑箭残骸落入预定区域,指挥官恐其雷达侦测到黑箭来袭天网系统启动专家天网拦截成功黑箭残骸落入预定区域,指挥官恐其雷达 detected to黑箭来袭天网系统启动专家天网拦截成功黑箭残骸落入预定区域,0.2381,0.7237,0.2763,"['黑剑', '红旗', '铁网']",[],[],0.0
6,专家：银狐准备就绪，请求狐狸空中接应。指挥官：狐狸三号正在接近，预计三分钟到达。,专家银狐准备继续请求狐狸空中接应指挥官狐狸三号正在接近预计三分钟到达,专家银狐准备继续请求狐狸空中接应指挥官狐狸三号正在接近预计三分钟到达,专家银狐狐准备继续请求狐空中接应指挥官狐三号正在接近预计三分钟到达,0.1579,0.7743,0.2257,"['狐狸', '银狐']","['狐狸', '银狐']",[],1.0
7,指挥官：铁拳锁定目标，坐标二三到四五，反复三次确认。专家：铁拳就绪，火力覆盖范围已设定。,指挥官铁拳锁定目标坐标二三到四五反复三次确认正加铁拳继续火力覆盖范围已设定,指挥官铁拳锁定目标坐标二三到四五反复三次确认正加铁拳继续火力覆盖范围已设定,指挥官铁拳锁定目标坐标二三到四五反复三次确认正加铁拳继续火力覆盖范围已设置,0.2143,0.7331,0.2669,['铁拳'],['铁拳'],[],1.0
8,专家：苍鹰中队报告，敌机已被击落两架。指挥官：维持苍鹰编队高度，防止雷霆反击。,专家苍蝇中队报告敌机已被击落两架指挥官维持苍蝇面对高度防止雷霆反击,专家苍蝇中队报告敌机已被击落两架指挥官维持苍蝇面对高度防止雷霆反击,专家中队报告敌机已被击落两架指挥官维持面对高度防止雷反击,0.2162,0.7443,0.2557,"['苍鹰', '雷霆']",['雷霆'],[],0.5
9,指挥官：迷雾电子战系统启动，压制红旗雷达信号。专家：红旗信号已消失，敌方防空盲区形成。,指挥官你有电子战系统启动压制红旗雷达信号专家红旗信号已消失敌方防空盲区行程,指挥官你有电子战系统启动压制红旗雷达信号专家红旗信号已消失敌方防空盲区行程,指挥官你有电子战系统启动压制红旗雷达信号专家红旗信号已消失敌方防空盲区行程,0.1951,0.7616,0.2384,"['红旗', '迷雾']",['红旗'],[],0.5
10,专家：指挥部遭遇暗流攻击，网络已完全瘫痪。指挥官：启动备用通信，银狐立即转移至B点。,专家指挥部早已暗流攻击网络已完全瘫痪指挥官启动边友通信年活立即转移至B点,专家指挥部早已暗流攻击网络已完全瘫痪指挥官启动边友通信年活立即转移至B点,专家指挥部早已暗流攻击网络已完全指挥官启动边友通信年活立即转移到B点,0.25,0.7544,0.2456,"['银狐', '暗流']",['暗流'],[],0.5
