sample_id,wav_path,tts_speed,source_text,normalized_source_text,belle_asr_raw,belle_asr_normalized,whisper_asr_raw,whisper_asr_normalized,belle_translation_en,whisper_translation_en,expected_code_words_zh,detected_code_words_zh_belle,detected_code_words_zh_whisper,detected_code_words_en_belle,detected_code_words_en_whisper,belle_cer,whisper_cer,belle_normalized_cer,whisper_normalized_cer,belle_code_word_recall,whisper_code_word_recall,audio_duration_sec,model_tts,model_asr_primary,model_asr_baseline,model_mt
1,espionage_samples/espionage_01.wav,0.85,指挥官：狐狸编队准备就绪，确认目标坐标三五点六北纬。专家：收到，狐狸一号至十号全员待命，夜莺卫星图像已传输。,指挥官狐狸编队准备就绪确认目标坐标三五点六北纬专家收到狐狸一号至十号全员待命夜莺卫星图像已传输,指挥官狐狸编队准备绝续确认目标坐标三五点六卑微专家收到狐狸一号至十号全员待命也因为新图像已传输,指挥官狐狸编队准备绝续确认目标坐标三五点六卑微专家收到狐狸一号至十号全员待命也因为新图像已传输,指挥官狐狸编队准备继续确认目标坐标35.6卑微专家收到狐狸一号至十号全员待命也因为新图像已传输,指挥官狐狸编队准备继续确认目标坐标356卑微专家收到狐狸一号至十号全员待命也因为新图像已传输,"The commander Fox squad is ready to confirm the target coordinates at 3:56 PM, and the low-level experts have received Fox 1 to 10 as well as the new images that have been transmitted.","The commander's Fox squad is preparing to continue to confirm that the target coordinate 356 is being received by the Foxes 1 to 10 crew, who are also awaiting death because new images have been transmitted.",狐狸|夜莺,狐狸,狐狸,Fox drone unit,Fox drone unit,0.2778,0.3519,0.1702,0.2553,0.5,0.5,14.0,MeloTTS (myshell-ai/MeloTTS),BELLE-2/Belle-whisper-large-v3-zh,openai/whisper-large-v3,facebook/nllb-200-distilled-600M
2,espionage_samples/espionage_02.wav,0.88,专家：鲨鱼信号确认，方位一二零度，距离四十五海里。指挥官：启动黑剑拦截程序，苍鹰中队立即升空。,专家鲨鱼信号确认方位一二零度距离四十五海里指挥官启动黑剑拦截程序苍鹰中队立即升空,专家闪屿信号确认方位一二零度距四十五海里指挥官席都推荐拦截程序苍蝇中队立即升空,专家闪屿信号确认方位一二零度距四十五海里指挥官席都推荐拦截程序苍蝇中队立即升空,专家 闪耳信号确认 方位120度 距离45海里指挥官 启动会见拦截程序 苍蝇中队立即升空,专家闪耳信号确认方位120度距离45海里指挥官启动会见拦截程序苍蝇中队立即升空,"The experts of the shuttle signal confirm the direction of the commander's seat at a distance of 405 nautical miles, and recommend that the intercepting program crew take off immediately.",Expert flash signal confirms direction 120 degrees from 45 nautical miles commander to start meeting intercepting procedure,鲨鱼|苍鹰|黑剑,,,,,0.3191,0.383,0.2,0.275,0.0,0.0,12.33,MeloTTS (myshell-ai/MeloTTS),BELLE-2/Belle-whisper-large-v3-zh,openai/whisper-large-v3,facebook/nllb-200-distilled-600M
3,espionage_samples/espionage_03.wav,0.9,指挥官：幽灵小队已通过铁拳火力掩护，成功渗透敌后。专家：银狐线人确认敌指挥部位置，坐标已发送。,指挥官幽灵小队已通过铁拳火力掩护成功渗透敌后专家银狐线人确认敌指挥部位置坐标已发送,指挥官游林小队已通过提拳火力掩护成功渗透敌后专家宁湖线人确认敌指挥部为止坐标已发送,指挥官游林小队已通过提拳火力掩护成功渗透敌后专家宁湖线人确认敌指挥部为止坐标已发送,指挥官游林小队已通过提全火力掩护成功渗透敌后专家银湖线人确认敌指挥部位置坐标已发送,指挥官游林小队已通过提全火力掩护成功渗透敌后专家银湖线人确认敌指挥部位置坐标已发送,"The commander of the Yulin Squadron has successfully penetrated the enemy through the use of the firepower of the T-Fist, after which the expert Lin Lin Lin Lin Lin Lin Lin of Ning Lake confirmed the enemy command had been sent to the coordinates.","The commander of the Wing Wing Wing has successfully penetrated the enemy by using full fire cover, after which the Silver Lake linear expert confirmed the enemy command position coordinates have been sent",幽灵|铁拳|银狐,,,,,0.2766,0.234,0.1707,0.122,0.0,0.0,11.43,MeloTTS (myshell-ai/MeloTTS),BELLE-2/Belle-whisper-large-v3-zh,openai/whisper-large-v3,facebook/nllb-200-distilled-600M
4,espionage_samples/espionage_04.wav,0.92,专家：毒蛇已成功渗透目标网络，获取指挥系统权限。指挥官：启动暗流程序，瘫痪敌方系统。,专家毒蛇已成功渗透目标网络获取指挥系统权限指挥官启动暗流程序瘫痪敌方系统,专家博水以成功渗透目标网络获取指挥系统权限指挥官启动爱流程序瘫痪敌方系统,专家博水以成功渗透目标网络获取指挥系统权限指挥官启动爱流程序瘫痪敌方系统,专家 博水以成功渗透目标网络获取指挥系统权限指挥官 启动爱流程序瘫痪敌方系统,专家博水以成功渗透目标网络获取指挥系统权限指挥官启动爱流程序瘫痪敌方系统,Expert Boomerang to successfully penetrate target networks to gain command system authorization commanders to launch love flow program to defeat enemy systems,Expert Boomerang to successfully penetrate target networks to gain command system authorization commanders to launch love flow program to defeat enemy systems,毒蛇|暗流,,,,,0.2381,0.2381,0.1111,0.1111,0.0,0.0,10.87,MeloTTS (myshell-ai/MeloTTS),BELLE-2/Belle-whisper-large-v3-zh,openai/whisper-large-v3,facebook/nllb-200-distilled-600M
5,espionage_samples/espionage_05.wav,0.95,指挥官：红旗雷达侦测到黑剑来袭，铁网系统启动。专家：铁网拦截成功，黑剑残骸落入预定区域。,指挥官红旗雷达侦测到黑剑来袭铁网系统启动专家铁网拦截成功黑剑残骸落入预定区域,指挥官空奇雷达侦测到黑箭来袭天网系统启动专家天网拦截成功黑箭残骸落入预定区域,指挥官空奇雷达侦测到黑箭来袭天网系统启动专家天网拦截成功黑箭残骸落入预定区域,"指挥官,空气雷达侦测到黑箭来袭,天网系统启动,创家,天网拦截成功,黑箭残骸落入预定区域。",指挥官空气雷达侦测到黑箭来袭天网系统启动创家天网拦截成功黑箭残骸落入预定区域,Commander Kaczynski radar detects the Black Arrows attack the Sky System launches the expert Skynet intercepted the wreckage of the Black Arrows successfully landing in the designated area,Commander Air Radar detects the Black Arrows attack the Sky System launches the creator of the Skynet to intercept the wreckage of the Black Arrows successfully landing in the designated area,黑剑|红旗|铁网,,,,,0.2727,0.2727,0.1579,0.1842,0.0,0.0,10.57,MeloTTS (myshell-ai/MeloTTS),BELLE-2/Belle-whisper-large-v3-zh,openai/whisper-large-v3,facebook/nllb-200-distilled-600M
6,espionage_samples/espionage_06.wav,0.98,专家：银狐准备就绪，请求狐狸空中接应。指挥官：狐狸三号正在接近，预计三分钟到达。,专家银狐准备就绪请求狐狸空中接应指挥官狐狸三号正在接近预计三分钟到达,专家银狐准备继续请求狐狸空中接应指挥官狐狸三号正在接近预计三分钟到达,专家银狐准备继续请求狐狸空中接应指挥官狐狸三号正在接近预计三分钟到达,专家银湖准备继续请求狐狸空中接应指挥官狐狸三号正在接近预计三分钟到达,专家银湖准备继续请求狐狸空中接应指挥官狐狸三号正在接近预计三分钟到达,Expert Silver Fox is ready to continue requesting Fox Air Response Commander Fox 3 is approaching expected arrival in three minutes,Experts at Silver Lake are preparing to continue requesting Fox Air Response Commander Fox 3 is approaching expected arrival in three minutes.,狐狸|银狐,狐狸|银狐,狐狸,Fox drone unit|Silver Fox asset,Fox drone unit,0.2,0.225,0.0588,0.0882,1.0,0.5,9.54,MeloTTS (myshell-ai/MeloTTS),BELLE-2/Belle-whisper-large-v3-zh,openai/whisper-large-v3,facebook/nllb-200-distilled-600M
7,espionage_samples/espionage_07.wav,1.0,指挥官：铁拳锁定目标，坐标二三到四五，反复三次确认。专家：铁拳就绪，火力覆盖范围已设定。,指挥官铁拳锁定目标坐标二三到四五反复三次确认专家铁拳就绪火力覆盖范围已设定,指挥官铁拳锁定目标坐标二三到四五反复三次确认郑家铁拳继续火力覆盖范围已设定,指挥官铁拳锁定目标坐标二三到四五反复三次确认郑家铁拳继续火力覆盖范围已设定,"指挥官,铁拳锁定目标,坐标23-45,反复三次确认,正加,铁拳继续,火力覆盖范围已设定。",指挥官铁拳锁定目标坐标2345反复三次确认正加铁拳继续火力覆盖范围已设定,Commander Iron Fist locks target coordinates 2-3-4-5 Repeat three times confirms that the range of firefighting continues,Commander Iron Fist Locks Target Coordinate 2345 Repeatedly Three Repeats Confirm that the Fist of the Gang continues to be set to fire,铁拳,铁拳,铁拳,Iron Fist artillery,Iron Fist artillery,0.2273,0.3409,0.0811,0.2432,1.0,1.0,10.75,MeloTTS (myshell-ai/MeloTTS),BELLE-2/Belle-whisper-large-v3-zh,openai/whisper-large-v3,facebook/nllb-200-distilled-600M
8,espionage_samples/espionage_08.wav,1.02,专家：苍鹰中队报告，敌机已被击落两架。指挥官：维持苍鹰编队高度，防止雷霆反击。,专家苍鹰中队报告敌机已被击落两架指挥官维持苍鹰编队高度防止雷霆反击,专家苍蝇中队报告敌机已被击落两架指挥官维持苍蝇面对高度防止雷霆反击,专家苍蝇中队报告敌机已被击落两架指挥官维持苍蝇面对高度防止雷霆反击,专家 操营中队报告敌机已被击落两架指挥官 维持操营面对高度防止雷霆反击,专家操营中队报告敌机已被击落两架指挥官维持操营面对高度防止雷霆反击,The Special Forces report that two commanders have shot down enemy aircraft while maintaining the airframe against high-altitude thunderstorms.,The Special Operations Squadron reports that two commanders have shot down enemy aircraft in the field of operations in the face of high-altitude thunderstorms.,苍鹰|雷霆,雷霆,雷霆,Thunder airstrike,Thunder airstrike,0.2564,0.3077,0.1212,0.1818,0.5,0.5,9.14,MeloTTS (myshell-ai/MeloTTS),BELLE-2/Belle-whisper-large-v3-zh,openai/whisper-large-v3,facebook/nllb-200-distilled-600M
9,espionage_samples/espionage_09.wav,1.03,指挥官：迷雾电子战系统启动，压制红旗雷达信号。专家：红旗信号已消失，敌方防空盲区形成。,指挥官迷雾电子战系统启动压制红旗雷达信号专家红旗信号已消失敌方防空盲区形成,指挥官拟用电子战系统启动压制红旗雷达信号专家红旗信号已消失敌方防空盲区行程,指挥官拟用电子战系统启动压制红旗雷达信号专家红旗信号已消失敌方防空盲区行程,"指挥官,你有电子战系统启动,压制红旗雷达信号。专家,红旗信号已消失,敌方防空盲区形成。",指挥官你有电子战系统启动压制红旗雷达信号专家红旗信号已消失敌方防空盲区形成,Commander is planning to launch electronic warfare system to compress red flag radar signal expert red flag signal has disappeared enemy air blind zone route,Commander you have electronic warfare system to start compressing red flag radar signal expert red flag signal has disappeared enemy air blind zone formed,红旗|迷雾,红旗,红旗,Red Flag radar,Red Flag radar,0.2326,0.1395,0.1081,0.0541,0.5,0.5,9.73,MeloTTS (myshell-ai/MeloTTS),BELLE-2/Belle-whisper-large-v3-zh,openai/whisper-large-v3,facebook/nllb-200-distilled-600M
10,espionage_samples/espionage_10.wav,1.05,专家：指挥部遭遇暗流攻击，网络已完全瘫痪。指挥官：启动备用通信，银狐立即转移至B点。,专家指挥部遭遇暗流攻击网络已完全瘫痪指挥官启动备用通信银狐立即转移至B点,专家指挥部早已暗流攻击网络已完全瘫痪指挥官启动变用通信年活立即转移至B点,专家指挥部早已暗流攻击网络已完全瘫痪指挥官启动变用通信年活立即转移至B点,"专家,指挥部早已按流攻击,网络已完全瘫痪,指挥官,启动变用通信,您活力即转移至B点。",专家指挥部早已按流攻击网络已完全瘫痪指挥官启动变用通信您活力即转移至B点,The expert command has already been dark-flowing attack networks that have completely blocked commanders from starting the change in communications year live and immediately transferred to point B.,The expert command has already been on the stream attack network and has completely blocked the commander to start the change in communications.,银狐|暗流,暗流,,Dark Current intrusion,,0.2619,0.2857,0.1389,0.1944,0.5,0.0,9.35,MeloTTS (myshell-ai/MeloTTS),BELLE-2/Belle-whisper-large-v3-zh,openai/whisper-large-v3,facebook/nllb-200-distilled-600M
